BeatNumber,OnBeat,BeatDiff,Key
1957,0,0.154521,39
1957,0,0.154521,40
1958,1,0.018566,40
1959,1,-0.002957,40
1960,1,-0.044896,40
1961,1,-0.060729,40
1962,1,-0.089846,40
1963,1,-0.092323,39
1964,1,-0.093271,39
1965,1,-0.107286,39
1966,0,-0.173278,39
1966,1,-0.126516,38
1967,1,-0.104895,38
1968,1,-0.133377,38
1969,1,-0.112991,38
1970,1,-0.107436,38
1971,1,-0.131567,38
1973,1,0.103512,38
1974,1,-0.04829,38
1975,0,-0.156422,38
1975,1,0.073475,38
1976,1,-0.077839,38
1976,1,0.138699,38
1977,1,-0.062644,40
1977,1,0.140177,40
1978,1,-0.061619,40
1978,1,0.141042,40
1979,1,-0.036346,37
1979,0,0.202807,37
1980,1,-0.011369,37
1980,0,0.174671,37
1981,1,-0.054301,37
1981,1,0.133649,37
1982,1,-0.09931,37
1982,1,0.119289,37
1983,1,-0.114976,37
1983,1,0.070964,37
1984,0,-0.163984,37
1984,1,0.020592,37
1985,1,-0.003706,37
1986,1,-0.009029,37
1987,1,-0.060446,37
1988,1,-0.078414,37
1989,1,-0.080014,37
1990,1,-0.081475,37
1991,1,-0.099663,37
1991,1,-0.001226,39
1992,1,-0.035875,39
1993,1,-0.070723,39
1994,1,-0.072135,40
1995,1,-0.039477,40
1996,1,-0.013072,40
1997,1,-0.04475,40
1998,1,-0.017532,37
1999,1,-0.004765,37
2000,1,-0.049668,39
2001,1,-0.073232,39
2002,1,-0.078574,39
2003,1,-0.095502,39
2004,1,-0.145423,39
2005,1,-0.06824,39
2012,1,0.060749,37
2013,1,-0.007646,37
2014,1,-0.054833,39
2014,1,-0.05084,69
2015,1,-0.063905,69
2016,1,-0.057919,39
2017,1,-0.031374,39
2018,1,-0.037975,39
2019,1,-0.076785,39
2020,1,-0.053998,32
2021,1,-0.049445,32
2022,1,-0.043404,32
2023,1,-0.001388,39
2024,1,-0.024988,39
2025,1,-0.021732,39
2026,1,-0.023541,39
2027,1,-0.038196,39
2028,1,-0.027163,39
2029,1,-0.041275,39
2030,1,-0.086353,39
2031,1,-0.084891,40
2032,1,-0.078173,39
2033,1,-0.083827,39
2034,1,-0.058682,39
2035,1,-0.121355,39
2036,0,-0.151999,39
2037,1,-0.080348,39
2038,1,-0.028608,39
2039,1,-0.069768,39
2040,1,-0.057674,39
2041,1,-0.036845,39
2042,1,-0.063151,38
2043,1,-0.090666,39
2044,1,-0.027651,38
2045,1,-0.042959,38
2046,1,-0.050559,38
2047,1,-0.051542,38
2048,1,-0.029866,38
2049,1,-0.035704,38
2050,1,-0.035827,38
2051,1,-0.013581,38
2052,1,0.009488,38
2054,1,0.031254,38
2055,1,0.024104,38
2056,1,-0.027787,39
2057,1,-0.079567,39
2057,1,-0.047206,38
2058,1,-0.053922,38
2059,1,-0.051488,38
2060,1,-0.052959,38
2061,1,-0.037957,39
2062,1,-0.05603,39
2063,1,-0.057506,39
2064,1,-0.025656,39
2065,1,-0.010313,39
2066,1,-0.028455,39
2067,1,0.010988,39
2068,1,0.001931,39
2069,1,0.000482,39
2070,1,-0.034323,39
2071,1,-0.019056,39
2072,1,-0.020556,39
2073,1,-0.038673,39
2074,1,-0.052105,39
2075,1,-0.051069,39
2076,1,-0.069795,39
2077,1,-0.077855,39
2078,1,-0.062586,39
2079,1,-0.0633,39
2080,1,-0.014209,39
2081,1,-0.011277,39
2082,1,-0.015397,39
2083,1,0.005782,39
2084,1,-0.010956,39
2085,1,-0.005153,39
2086,1,-0.056328,39
2087,1,-0.071774,39
2088,1,-0.071388,39
2089,1,-0.055552,39
2090,1,-0.070673,39
2091,1,-0.054296,39
2092,1,-0.055004,39
2093,1,-0.038257,39
2094,1,-0.045852,39
2095,1,-0.112432,39
2096,1,-0.068134,38
2097,1,-0.071312,38
2098,1,-0.021827,37
2099,1,-0.004025,69
2100,1,-0.005867,69
2101,1,-0.023068,69
2102,1,-0.04342,69
2103,1,-0.063137,69
2104,1,-0.028335,69
2105,1,-0.013228,69
2106,1,-0.016512,69
2108,1,0.025814,69
2109,1,0.008319,69
2110,1,0.032654,69
2111,1,-0.007294,69
2112,1,-0.022635,69
2113,1,0.030877,69
2114,1,0.016094,69
2115,1,0.074625,69
2116,1,0.027891,69
2117,1,-0.037826,69
2118,1,-0.09915,69
2119,1,-0.12419,69
2119,1,0.117036,69
2120,1,0.006348,69
2121,1,0.021768,69
2122,1,-0.014872,69
2123,1,-0.031562,69
2123,1,-0.015867,69
2125,1,0.020493,69
2126,1,0.017262,69
2127,0,0.155398,69
2128,0,0.174091,69
2129,0,0.173377,69
2130,1,0.121556,69
2131,1,0.014472,69
2132,1,-0.00581,69
2133,1,0.036547,69
2134,1,0.046638,69
2135,1,0.05164,69
2136,1,0.033706,69
2137,1,0.043541,69
2138,1,0.032244,69
2139,1,0.021947,69
2140,1,-0.092538,69
2140,1,0.093385,69
2141,1,-0.074623,69
2142,0,-0.201303,69
2142,1,0.140653,69
2143,1,-0.0203,69
2144,0,-0.163528,69
2144,0,0.180255,69
2145,0,-0.210095,39
2146,1,0.10046,39
2147,1,0.044201,39
2148,1,0.015879,39
2149,1,0.023827,39
2150,1,0.023862,39
2152,1,0.101409,38
2153,0,0.166548,40
2154,1,0.0483,40
2155,1,-0.052662,40
2156,1,-0.131469,40
2156,1,-0.034476,39
2157,1,-0.069911,39
2158,1,-0.040057,39
2159,1,-0.059051,39
2160,1,-0.063579,39
2161,1,-0.06498,39
2162,1,-0.066991,39
2163,1,-0.068974,39
2164,1,-0.104409,39
2165,1,-0.068273,39
2166,1,-0.104405,39
2167,1,-0.095497,39
2168,1,-0.069837,39
2169,1,-0.063126,39
2170,1,-0.097822,39
2171,1,-0.076438,39
2172,1,-0.003326,40
2173,1,-0.055581,40
2174,1,-0.060739,40
2175,1,-0.058351,40
2176,1,-0.06458,40
2177,1,-0.034244,40
2178,1,-0.038543,40
2179,1,-0.06359,40
2180,1,-0.038868,39
2181,1,-0.072702,39
2182,1,-0.03027,40
2183,1,-0.054516,40
2184,1,-0.055738,39
2185,1,-0.057946,39
2186,1,-0.036919,39
2187,1,-0.055386,39
2188,1,-0.026599,39
2189,1,-0.040368,39
2190,1,-0.068556,39
2191,1,-0.076421,40
2192,1,-0.02225,39
2193,1,-0.038957,39
2194,1,-0.047286,39
2195,1,-0.08216,39
2196,1,-0.082225,39
2197,1,-0.039134,39
2198,1,-0.069476,39
2199,1,-0.046444,39
2200,1,0.003114,39
2201,1,-0.019467,39
2202,1,-0.023844,39
2203,1,-0.022133,39
2204,1,0.002679,39
2205,1,0.003771,39
2206,1,-0.016406,39
2207,1,-0.037318,39
2208,1,-0.029477,39
2209,1,-0.050868,39
2210,1,-0.020205,39
2211,1,0.005299,39
2212,1,0.006556,39
2213,1,0.007195,39
2214,1,0.00934,39
2215,1,-0.011986,39
2216,1,-0.03522,39
2217,1,-0.057037,39
2218,1,-0.078174,39
2219,1,-0.019641,40
2220,1,-0.029008,40
2221,1,-0.024379,40
2222,1,0.014281,39
2223,1,-0.056612,40
2224,1,-0.03521,40
2225,1,-0.033606,40
2226,1,0.028351,40
2227,1,0.008587,40
2229,1,0.033832,38
2230,1,0.043672,38
2231,1,0.024866,39
2232,1,-0.020544,39
2233,1,-0.028178,39
2233,1,0.021799,39
2234,1,-0.015568,39
2235,1,0.009059,39
2236,1,-0.000679,39
2237,1,0.007361,39
2238,1,0.010065,39
2239,1,0.024688,39
2240,1,-0.031274,39
2241,1,-0.038634,39
2242,1,0.030029,38
2243,1,0.00944,38
2244,1,-0.023592,38
2245,1,-0.018907,38
2246,1,-0.031377,39
2247,1,-0.045467,39
2248,1,-0.063992,39
2249,1,-0.047405,39
2250,1,-0.022623,39
2251,1,0.001694,39
2252,1,-0.024911,39
2253,1,0.010965,39
2254,1,-0.004908,39
2255,1,0.012378,39
2256,1,0.002148,39
2258,1,0.030768,39
2259,1,0.028669,39
2260,1,0.00285,39
2261,1,-0.025007,39
2262,1,-0.047326,39
2262,1,-0.034166,39
2263,1,-0.08828,39
2264,1,-0.041353,40
