BeatNumber, OnBeat, BeatDiff, Key
1901, 1, 0.082519, 68
1902, 1, 0.039731, 68
1902, 1, -0.000746, 68
1903, 1, -0.019314, 68
1904, 1, -0.035165, 68
1905, 1, -0.019937, 65
1906, 1, -0.022134, 65
1908, 1, 0.061922, 83
1908, 1, -0.009933, 83
1910, 1, 0.088333, 83
1911, 1, 0.101946, 68
1912, 1, 0.051757, 68
1912, 1, 0.002082, 68
1913, 1, -0.065493, 68
1914, 1, -0.13954, 68
1915, 0, -0.154038, 68
1916, 0, -0.190772, 68
1917, 0, 0.182419, 68
1918, 1, 0.143849, 83
1918, 1, -0.0166, 68
1919, 0, -0.203278, 68
1919, 1, -0.004324, 83
1920, 1, -0.114406, 68
1921, 0, 0.164976, 68
1921, 1, -0.015809, 68
1922, 0, -0.17228, 68
1923, 0, 0.2101, 68
1924, 0, 0.187355, 68
1925, 1, 0.033163, 68
1925, 1, 0.002872, 68
1926, 1, -0.048752, 68
1927, 1, -0.067268, 68
1928, 1, -0.02938, 68
1929, 1, -0.070656, 68
1930, 1, -0.054878, 68
1931, 1, -0.045686, 68
1932, 1, -0.027784, 68
1934, 0, 0.155108, 68
1935, 1, 0.098451, 68
1936, 1, 0.069128, 68
1937, 1, 0.042874, 68
1937, 1, -0.116286, 87
1938, 1, -0.115006, 87
1939, 1, -0.149444, 87
1940, 1, -0.141891, 68
1941, 0, 0.216735, 83
1942, 0, -0.186512, 83
1943, 0, -0.204448, 83
1944, 0, 0.157416, 83
1945, 1, 0.084873, 83
1946, 1, 0.042367, 83
1947, 1, 0.034829, 83
1947, 1, 0.009722, 83
1948, 1, -0.006273, 83
1949, 1, -0.019162, 83
1950, 1, -0.010754, 83
1951, 1, -0.032268, 83
1952, 1, -0.034247, 83
1953, 1, -0.089614, 68
1954, 1, -0.094894, 68
1955, 0, -0.152462, 68
1956, 0, 0.169117, 68
1957, 1, 0.107019, 68
1957, 1, -0.010506, 68
1958, 1, -0.017448, 68
1959, 1, -0.024142, 68
1960, 1, -0.001316, 68
1961, 1, -0.00168, 68
1962, 1, -0.063161, 68
1963, 1, -0.065903, 68
1964, 1, -0.097983, 68
1965, 1, -0.069883, 68
1966, 1, -0.102777, 68
1967, 0, -0.160283, 68
1968, 0, -0.213421, 68
1969, 1, 0.139977, 68
1970, 1, 0.057847, 68
1971, 1, 0.035046, 68
1971, 1, -0.074421, 68
1972, 0, -0.177371, 68
1973, 1, -0.120358, 68
1974, 0, 0.209306, 68
1975, 1, 0.108148, 68
1975, 1, 0.006146, 68
1976, 1, 0.010964, 68
1977, 1, -0.037921, 68
1978, 1, -0.034972, 68
1979, 1, -0.002686, 68
1980, 1, 0.00529, 68
1982, 1, 0.044967, 68
1983, 1, 0.036294, 68
1984, 1, 0.071063, 68
1985, 1, 0.046441, 68
1986, 1, 0.049529, 68
1987, 1, 0.049599, 68
1988, 1, 0.072241, 68
1989, 1, 0.045866, 68
1989, 1, 0.013896, 68
1991, 1, 0.036596, 68
1992, 1, 0.110557, 68
