BeatNumber,OnBeat,BeatDiff,Key
77,0,-0.174898,32
78,1,0.054881,32
79,0,0.170202,39
80,1,-0.063853,39
81,1,0.083852,68
81,1,0.083852,39
82,1,0.048991,68
83,0,-0.170587,68
87,1,-0.09306,69
90,0,0.162922,39
91,1,0.052636,68
92,1,0.03461,65
93,1,0.114144,65
94,1,-0.03497,68
94,1,-0.003389,68
95,1,-0.088135,68
96,1,-0.039514,68
97,1,0.118926,87
98,0,-0.196732,83
100,1,0.089438,87
102,1,0.136208,83
103,1,-0.011594,87
104,1,-0.084849,68
106,1,0.130334,65
107,1,0.095567,65
107,1,0.095567,83
107,0,0.179135,68
108,1,0.127837,83
110,1,0.025054,68
110,1,0.025054,70
111,1,0.106717,65
112,0,-0.200146,68
113,1,-0.097555,68
115,0,-0.217174,65
115,1,-0.03944,68
117,1,0.06499,68
118,1,0.081719,65
119,0,0.178839,65
120,0,-0.20565,68
121,1,-0.00928,65
123,0,-0.212085,68
123,0,-0.178457,65
126,0,0.169726,87
127,1,-0.13475,83
128,1,-0.035933,83
129,1,-0.033988,83
130,1,0.018488,83
131,1,0.034031,83
133,0,0.154303,65
134,1,-0.043001,65
136,1,0.132162,65
138,1,-0.066772,68
139,1,-0.125493,68
140,0,-0.171568,68
141,1,-0.101364,68
142,1,-0.072028,68
143,1,-0.099508,68
144,1,-0.052613,68
145,1,-0.02967,68
146,1,-0.063965,68
147,1,-0.077647,68
148,1,-0.096962,68
149,1,0.00998,68
150,1,0.037033,83
151,1,-0.104975,87
152,1,-0.017478,68
153,1,0.003006,87
155,1,0.060465,87
156,1,-0.071319,68
158,1,0.115378,68
159,1,0.111898,68
160,1,0.072854,68
161,1,0.125671,68
162,0,0.21326,68
163,1,-0.042854,65
164,1,-0.021258,68
166,1,0.116261,68
167,1,0.058614,68
168,1,0.002919,68
169,1,0.116145,68
170,1,-0.107032,68
172,1,0.043718,83
173,1,0.046617,83
174,1,0.046235,83
175,0,0.181858,83
176,0,0.173685,83
177,1,0.134296,83
178,1,0.124328,65
179,1,0.133778,83
180,1,0.063572,65
181,1,0.077237,83
181,1,0.106764,65
182,1,0.046881,65
183,1,0.053789,65
184,0,0.160664,83
185,1,0.11871,65
186,1,0.137632,83
187,0,0.209559,65
188,0,-0.189545,83
188,0,-0.168792,65
189,0,-0.16554,65
191,1,-0.133425,83
193,1,-0.031011,69
195,1,0.130966,69
196,0,0.214062,69
197,0,0.205184,69
198,0,0.163818,69
199,1,-0.088236,65
199,1,-0.050646,65
200,1,-0.034184,65
201,1,-0.061228,65
203,1,0.036489,87
204,1,0.02523,87
206,1,-0.107391,68
207,1,0.006834,68
208,1,-0.012609,68
209,1,-0.062032,65
211,1,0.123282,87
211,0,0.205933,68
212,0,0.203303,87
213,0,-0.168438,68
214,0,-0.170357,68
216,1,0.036757,68
216,1,0.064673,87
217,1,0.054642,68
218,1,-0.059493,68
219,1,-0.072556,68
