BeatNumber,OnBeat,BeatDiff,Key
65,1,-0.070675,65
65,1,-0.070675,83
65,1,-0.070675,68
65,1,-0.070675,87
65,1,-0.070675,65
65,1,-0.070675,83
65,1,-0.070675,68
67,1,1.91804,65
72,0,-0.174322,87
72,1,-0.041108,65
74,1,0.090794,65
75,0,0.15603,68
76,1,-0.146925,69
77,1,0.144447,69
78,1,-0.048464,69
78,1,0.118275,69
79,0,-0.166474,32
79,1,0.050419,32
80,0,-0.184564,32
80,1,-0.016577,32
80,0,0.165678,32
81,1,-0.102738,32
81,1,0.113712,65
82,0,-0.189194,83
83,0,0.194178,83
84,1,-0.023976,83
84,0,0.176348,83
85,1,-0.041657,83
85,0,0.15886,83
86,1,-0.043085,83
86,0,0.174079,83
87,0,0.190679,69
88,0,0.170856,69
89,1,0.004527,69
90,1,0.069902,69
91,1,0.06635,69
92,1,0.056563,69
93,1,0.050865,69
94,1,0.072925,65
95,1,0.110442,83
96,1,0.128333,65
97,1,0.085847,68
98,1,-0.004334,83
99,1,0.071504,83
100,1,0.103377,83
101,0,0.16874,83
102,0,0.213573,65
104,1,0.030942,68
105,0,0.154108,65
106,1,-0.051082,65
108,1,0.108263,68
109,1,0.118477,68
112,1,0.036229,68
113,0,0.150904,68
114,1,0.143878,68
115,0,0.161355,65
116,0,0.216041,65
117,1,0.117803,65
118,1,-0.047362,65
119,1,0.00813,83
121,1,0.066113,83
122,1,0.050399,83
123,1,-0.09714,87
124,0,-0.211114,87
126,1,-0.036303,87
127,1,0.012294,68
129,1,0.110945,68
130,0,0.209318,65
132,1,0.037126,65
133,1,-0.051127,87
137,0,0.207683,65
138,1,-0.130932,65
140,1,0.091043,65
141,1,0.06958,65
142,0,0.191826,68
143,1,-0.054264,68
144,0,-0.201405,83
145,0,0.193436,83
146,0,-0.180948,83
146,1,-0.080359,65
147,0,-0.167068,65
148,1,0.003356,65
150,1,0.069929,68
151,1,0.021414,68
152,1,0.043985,68
153,1,0.013807,68
154,1,0.03659,68
155,0,-0.197823,65
