BeatNumber, OnBeat, BeatDiff, Key
77, 1, 0.016458, 32
79, 1, 0.084182, 69
80, 1, -0.001278, 69
81, 1, 0.032539, 87
82, 1, 0.129761, 69
82, 1, 0.01157, 69
84, 1, 0.110059, 69
86, 0, 0.207347, 69
92, 0, -0.169276, 69
94, 0, -0.205816, 69
96, 1, 0.092547, 32
99, 1, 0.038482, 65
99, 1, 0.038482, 87
100, 1, 0.086794, 68
101, 1, 0.101795, 68
102, 0, -0.167671, 65
103, 1, -0.110395, 87
104, 1, -0.004153, 65
105, 1, -0.005597, 65
106, 1, -0.09033, 65
107, 0, -0.191736, 68
108, 0, 0.208282, 88
108, 1, -0.026485, 83
109, 0, 0.173596, 83
109, 1, -0.027853, 83
111, 0, 0.187543, 87
112, 1, 0.001222, 87
114, 0, -0.185148, 68
117, 1, 0.128608, 68
120, 1, 0.124408, 65
120, 1, 0.006251, 87
122, 1, -0.080182, 68
126, 1, 0.081875, 83
127, 0, 0.180833, 87
129, 0, 0.177797, 83
131, 0, -0.176616, 83
133, 1, 0.140103, 87
135, 1, -0.065964, 68
138, 1, -0.070307, 83
140, 1, -0.106288, 83
143, 0, -0.171993, 83
146, 0, 0.172975, 87
147, 1, 0.817678, 65
149, 1, 0.016384, 68
151, 1, 0.079097, 65
152, 1, 0.044411, 68
153, 1, 0.051653, 65
154, 1, -0.14028, 83
155, 1, -0.011341, 87
156, 1, 0.003697, 83
157, 1, 0.00242, 68
158, 1, -0.057127, 87
159, 1, 0.016299, 65
160, 1, -0.00041, 83
162, 1, 0.080101, 83
163, 1, 0.028925, 68
164, 1, 0.127378, 87
165, 1, 0.125593, 87
165, 1, -0.009442, 65
166, 1, 0.009622, 83
167, 1, -0.010852, 83
168, 1, -0.080087, 68
169, 1, -0.026823, 87
170, 1, -0.032884, 87
171, 1, -0.096646, 65
172, 1, -0.036224, 83
173, 1, -0.054121, 83
174, 1, -0.038745, 68
176, 1, 0.037825, 87
177, 1, 0.09132, 87
178, 1, 0.023017, 65
178, 1, 0.004945, 83
180, 1, 0.020391, 83
180, 1, 0.002576, 68
182, 1, 0.067866, 87
183, 1, 0.049485, 87
183, 1, 0.014388, 65
184, 1, 0.002768, 83
185, 1, -0.032734, 83
186, 1, 0.004614, 83
187, 1, -0.007531, 87
188, 1, 0.012351, 87
189, 0, -0.160843, 87
190, 1, -0.144556, 68
192, 1, 0.057025, 65
192, 1, 0.004039, 83
193, 1, 0.000104, 83
194, 1, -0.003996, 83
195, 1, 0.007058, 83
196, 1, -0.007671, 83
197, 1, 0.000267, 68
198, 1, -0.018886, 68
200, 1, 0.018302, 68
201, 1, -0.039162, 65
202, 1, -0.028804, 65
203, 1, -0.054336, 68
204, 1, -0.044049, 68
205, 1, -0.012339, 65
206, 1, 0.090788, 68
206, 1, 0.014708, 65
207, 1, -0.019864, 65
208, 1, 0.010438, 68
209, 1, -0.015117, 68
210, 1, -0.033932, 68
211, 1, -0.052363, 68
212, 1, -0.03339, 68
213, 1, -0.037926, 68
214, 1, -0.042466, 68
215, 1, -0.018523, 68
216, 1, -0.016149, 68
217, 1, -0.056341, 68
218, 1, -0.06793, 68
220, 1, 0.037801, 87
221, 1, 0.02999, 87
222, 1, -0.059733, 68
224, 1, 0.107763, 65
224, 1, 0.012994, 65
225, 1, -0.022337, 68
226, 1, -0.004598, 68
228, 1, 0.031325, 65
232, 0, -0.166854, 68
234, 0, 0.156394, 68
235, 1, -0.142456, 68
236, 0, 0.194023, 87
237, 1, -0.047984, 87
238, 1, -0.045169, 68
239, 1, -0.051165, 87
240, 1, -0.056849, 87
241, 1, -0.014598, 87
243, 1, 0.051566, 87
244, 1, 0.06024, 87
244, 1, 0.008971, 65
245, 1, -0.026078, 87
247, 1, 0.022504, 87
247, 1, -0.012362, 87
248, 1, -0.083447, 68
249, 1, -0.08219, 65
250, 1, -0.077825, 87
251, 1, -0.035241, 87
252, 1, -0.036844, 83
253, 1, 0.011864, 87
254, 1, -0.072982, 65
255, 1, -0.024521, 65
256, 1, -0.059302, 87
257, 1, -0.077757, 68
258, 1, -0.062651, 83
259, 1, -0.063783, 87
261, 1, 0.034888, 87
261, 1, 0.016567, 83
262, 1, -0.018309, 83
263, 1, -0.002897, 87
264, 1, 0.012218, 87
265, 1, -0.056147, 65
266, 1, -0.140992, 68
267, 0, -0.175743, 68
268, 0, -0.160597, 87
269, 1, 0.004718, 87
270, 1, -0.04682, 68
271, 1, -0.048151, 68
272, 1, -0.049758, 68
273, 1, -0.101128, 83
274, 1, -0.035793, 83
275, 1, -0.087087, 68
276, 1, -0.072053, 68
277, 1, -0.07355, 68
280, 1, -0.111202, 68
281, 0, -0.191988, 87
282, 1, -0.063906, 87
283, 1, -0.099009, 87
284, 1, -0.133945, 68
285, 1, -0.068696, 68
