BeatNumber,OnBeat,BeatDiff,Key
97,0,0.123731,68
104,1,0.064634,83
105,1,-0.021478,68
105,1,0.009881,87
106,1,-0.025046,65
108,1,0.056249,83
109,1,0.038643,83
110,1,-0.02359,83
110,1,-0.01473,83
111,1,0.009277,83
112,1,-0.017809,68
113,1,0.011441,68
114,1,-0.070561,83
115,1,-0.00767,83
116,1,0.008859,68
117,1,0.008685,68
118,1,0.009463,68
119,1,0.01665,87
121,1,0.030323,87
122,1,-0.023515,65
123,1,-0.05695,65
124,1,0.049204,83
125,1,-0.011499,83
125,1,-0.003593,83
126,1,-0.008544,68
127,1,-0.008747,68
129,1,0.069135,68
130,1,0.052338,68
131,1,0.087874,68
132,1,0.065987,68
133,1,0.099871,68
134,0,0.139607,68
135,1,0.089687,68
136,0,0.135464,68
137,1,0.094518,68
138,0,0.101917,68
144,0,0.111103,87
145,1,0.072234,87
146,1,0.057565,87
147,1,0.029612,87
148,1,0.017419,87
149,1,0.004363,87
150,1,0.022786,68
150,1,0.022786,70
151,1,0.002088,68
152,1,0.055945,68
153,1,0.038409,68
154,1,0.052641,68
155,1,0.093298,68
156,1,0.086406,68
157,1,0.077148,68
158,1,0.078443,68
159,1,0.049256,68
160,1,0.025591,68
161,1,0.036921,83
162,1,-0.006593,83
162,1,-0.000195,65
164,1,0.031614,65
165,1,0.063935,65
166,1,0.030405,65
167,1,0.019196,65
168,1,0.035148,87
169,1,-0.012322,87
173,0,0.182015,69
175,0,0.198771,69
176,1,-0.025502,69
179,1,0.068184,69
180,0,-0.100202,69
181,0,-0.210299,69
181,0,0.117814,69
182,0,0.113486,69
183,1,0.029525,69
184,1,0.0526,69
185,1,0.072087,69
186,1,0.092103,69
187,1,0.058266,69
188,1,0.081076,69
189,1,0.077755,69
190,1,0.044429,69
191,1,0.014823,69
192,1,0.032956,69
193,1,-0.052786,87
193,1,0.011331,87
194,1,-0.019412,87
196,1,0.038882,87
197,1,0.026193,87
198,1,0.024217,87
199,1,0.076614,87
200,1,0.076879,87
201,1,0.036533,87
202,1,-0.011568,87
202,1,0.011384,87
203,1,0.000917,87
205,1,0.090985,68
206,1,0.016149,32
207,1,-0.07308,32
207,1,0.012934,65
208,1,-0.007905,65
209,1,-0.010563,87
210,1,0.022204,87
211,1,-0.011195,87
212,1,-0.035865,87
213,1,-0.062749,87
214,0,-0.111638,68
215,0,-0.124506,68
216,0,-0.139897,68
218,1,-0.058601,68
219,1,-0.087244,32
220,0,-0.113851,32
222,1,0.045458,68
223,1,-0.03481,68
224,1,0.062159,83
225,1,0.075443,87
225,0,0.214687,83
226,1,0.056764,83
227,1,0.01844,83
228,1,-0.034551,83
229,1,-0.047828,87
230,0,-0.1144,87
230,1,-0.039584,87
231,0,-0.126633,87
232,1,-0.074251,87
234,1,0.046222,83
235,1,-0.049386,87
236,1,-0.09378,68
236,1,-0.015284,68
237,1,-0.005146,68
238,1,-0.027651,68
239,1,-0.030199,68
240,1,-0.050468,68
241,1,-0.045686,68
242,1,-0.024084,68
243,1,-0.016393,68
244,1,-0.005448,68
245,1,-0.049767,68
246,1,-0.088758,68
247,1,-0.092138,68
248,1,-0.071678,83
249,1,0.005722,83
251,1,0.023986,83
252,1,0.028014,83
253,1,0.015778,65
254,1,-0.005434,65
255,1,-0.006766,65
255,1,0.013723,65
256,1,-0.006835,87
257,1,-0.039249,87
258,1,-0.032536,87
259,1,0.011289,65
260,1,-0.098159,87
260,1,-0.023193,32
261,1,-0.099693,87
261,1,-0.06259,32
262,1,-0.069631,32
263,1,-0.097894,83
264,0,-0.164872,68
265,0,0.172033,68
266,1,0.091666,68
267,1,0.069708,68
268,1,0.051428,68
269,0,-0.178181,68
269,0,-0.158815,32
269,0,0.105358,68
269,0,0.105358,32
270,1,-0.065167,83
270,1,-0.045418,83
271,1,-0.051507,83
273,1,0.053291,83
274,1,-0.060632,65
274,1,-0.055812,65
275,1,-0.057127,87
276,1,-0.039652,87
277,1,-0.019951,68
278,1,-0.040342,68
279,1,-0.060483,83
280,1,-0.04017,65
281,0,-0.146769,65
282,1,-0.095661,87
283,0,0.187827,65
284,1,0.094212,65
285,1,0.035001,65
286,1,0.013873,68
287,1,-0.051886,68
288,1,-0.074814,68
289,1,-0.093189,83
290,0,-0.108663,83
291,0,-0.21256,65
291,0,-0.122194,65
292,0,0.16127,68
294,1,0.099866,83
294,0,0.119716,68
295,1,0.071667,68
296,1,0.021326,68
297,1,0.027825,68
298,1,0.016913,68
299,1,0.031284,68
300,1,0.007359,68
300,1,0.008501,68
301,1,0.014074,68
302,1,-0.02352,68
304,1,0.027742,68
305,1,0.020979,68
306,1,-0.006222,68
306,1,0.010719,68
307,1,0.012839,68
309,1,0.044265,68
310,1,-0.013856,68
310,1,0.002823,68
312,1,0.043886,68
313,1,0.076805,68
313,0,0.143609,87
314,1,0.018941,87
315,1,0.015765,87
316,1,0.029922,87
317,1,0.056999,87
318,1,0.080162,69
319,1,0.019806,68
320,1,0.061874,68
321,1,0.067865,68
322,1,0.05081,68
323,1,0.053011,68
324,1,0.054687,68
325,1,0.055108,68
326,1,-0.028654,83
327,1,-0.043385,83
327,1,0.005875,65
332,1,0.052351,69
333,1,0.062411,69
334,1,-0.013915,69
335,1,-0.021867,69
336,1,-0.050126,69
336,1,-0.035446,69
337,1,-0.041919,69
338,1,-0.071517,69
339,1,-0.013498,68
340,1,-0.045143,68
341,1,-0.096186,68
342,1,-0.066976,87
