BeatNumber,OnBeat,BeatDiff,Key
44,0,-0.186336,39
45,0,0.197571,39
47,1,0.044008,68
48,1,-0.062816,68
49,1,-0.09242,68
49,1,-0.027129,68
50,1,-0.095198,68
51,1,-0.146309,68
52,0,-0.198075,65
53,0,-0.162765,83
54,1,-0.11753,83
55,1,-0.120943,83
56,1,-0.0637,83
57,1,-0.08493,83
58,1,-0.112465,83
59,1,-0.111475,83
60,1,-0.121822,83
61,1,-0.110698,83
62,0,-0.152576,87
63,0,-0.153907,87
64,0,-0.188938,65
65,1,-0.127707,65
66,1,-0.129283,65
67,1,-0.114181,65
68,1,-0.138248,87
69,1,-0.130022,87
70,1,-0.108458,87
71,1,-0.139857,68
72,0,-0.161869,87
73,1,-0.081094,87
74,1,-0.075225,68
75,1,-0.100521,68
76,1,-0.117736,68
77,1,-0.095421,68
78,1,-0.089025,68
79,1,-0.093949,68
80,1,-0.11633,68
81,1,-0.07449,68
82,1,-0.107977,68
83,1,-0.109327,68
84,1,-0.100131,68
85,1,-0.085048,68
86,0,-0.198078,87
87,0,-0.15184,68
88,1,-0.10187,87
89,1,-0.054253,65
90,1,-0.1008,87
91,1,-0.08224,68
92,1,-0.077337,68
93,1,-0.123866,68
94,1,-0.132423,68
95,0,-0.152342,68
96,1,-0.14635,83
98,1,0.004566,83
100,0,-0.156482,87
112,1,-0.143988,87
113,1,0.026861,68
114,1,0.053985,87
115,0,-0.166759,87
115,0,-0.166759,68
115,0,0.196832,83
125,0,0.196981,83
126,1,0.078417,83
127,0,0.215464,87
128,1,-0.126048,87
129,1,-0.125065,87
134,1,-0.029231,32
135,1,-0.03552,32
136,1,-0.071142,32
137,1,-0.104844,32
138,1,-0.109908,32
139,1,-0.121252,32
140,1,-0.101411,32
141,1,-0.055383,32
142,1,-0.062133,32
143,0,-0.178236,32
144,1,-0.129793,32
145,1,-0.112649,32
146,1,-0.064868,32
147,1,-0.101062,32
148,0,-0.166377,32
149,1,-0.141403,32
150,1,-0.023752,27
