BeatNumber, OnBeat, BeatDiff, Key
457, 1, 0.134217, 13
458, 1, -0.14491, 39
459, 0, -0.212581, 39
460, 0, 0.187119, 39
461, 0, 0.16895, 39
462, 1, 0.074351, 39
462, 1, -0.050865, 39
463, 0, 0.167923, 39
463, 1, -0.002219, 39
464, 1, 0.013049, 40
465, 1, 0.004871, 40
467, 1, 0.021639, 40
467, 1, -0.051501, 39
468, 1, -0.00573, 39
469, 1, -0.006827, 40
470, 1, 0.002876, 39
472, 1, 0.059332, 39
473, 1, 0.040619, 40
474, 1, 0.042993, 39
475, 1, 0.035806, 39
475, 1, -0.001396, 39
476, 1, -0.044516, 38
477, 1, -0.060469, 38
478, 1, -0.094778, 39
479, 1, -0.074961, 39
480, 1, -0.011259, 38
481, 1, -0.109722, 39
482, 1, -0.128803, 39
483, 1, -0.08087, 38
484, 1, -0.026219, 38
485, 1, -0.010002, 38
486, 1, -0.002248, 38
487, 1, -0.03721, 38
488, 1, -0.038905, 38
489, 1, -0.040354, 38
490, 1, -0.108539, 38
491, 1, -0.076856, 38
492, 1, -0.045159, 39
493, 1, -0.015736, 39
494, 1, -0.031258, 38
495, 1, -0.016385, 39
496, 1, 0.015571, 39
498, 1, 0.030794, 38
499, 1, 0.062503, 39
499, 1, 0.011022, 38
501, 1, 0.042768, 38
502, 1, 0.041336, 38
502, 1, 0.006544, 39
503, 1, -0.028399, 39
504, 1, -0.046473, 39
505, 1, -0.04797, 39
507, 1, 0.017175, 39
508, 1, 0.065833, 39
509, 1, 0.047613, 39
510, 1, 0.04616, 39
510, 1, -0.038478, 39
511, 1, -0.023293, 39
512, 1, -0.041368, 39
513, 1, 0.007146, 39
515, 1, 0.055682, 39
516, 1, 0.037698, 39
516, 1, 0.019596, 39
518, 1, 0.068086, 39
519, 1, 0.033393, 39
520, 1, 0.049057, 39
521, 1, 0.047257, 39
522, 1, 0.062452, 39
523, 1, 0.094402, 39
524, 1, 0.093009, 39
525, 1, 0.041611, 39
526, 1, 0.056735, 39
527, 1, 0.038809, 39
527, 1, -0.012684, 39
528, 1, -0.030976, 39
529, 1, 0.017673, 38
530, 1, -0.0506, 39
531, 1, -0.06869, 38
532, 1, -0.103629, 39
533, 1, -0.054879, 39
534, 1, -0.039758, 39
535, 1, -0.024612, 39
536, 1, -0.05946, 39
537, 1, 0.00616, 39
539, 1, 0.121573, 39
540, 1, 0.103969, 39
541, 1, 0.085854, 39
542, 1, 0.067839, 39
542, 1, -0.000204, 39
543, 1, -0.051721, 39
544, 1, -0.136585, 40
545, 0, 0.196979, 39
546, 0, 0.178744, 39
547, 1, 0.143718, 39
548, 1, 0.092301, 39
548, 1, -0.007665, 39
549, 1, -0.027211, 39
550, 1, -0.029027, 39
551, 1, 0.00251, 39
553, 0, 0.15062, 38
553, 1, -0.100871, 39
554, 1, 0.132562, 39
555, 1, 0.06508, 39
555, 1, -0.020438, 39
556, 1, -0.055255, 37
557, 1, -0.006653, 38
558, 1, 0.076739, 37
558, 1, 0.143412, 68
558, 1, -0.024773, 37
559, 1, 0.141884, 87
560, 1, 0.1409, 65
561, 0, 0.155602, 83
