BeatNumber, OnBeat, BeatDiff, Key
33, 0, -0.137086, 32
35, 0, 0.120799, 68
37, 1, -0.036055, 68
41, 1, 0.056173, 65
42, 0, -0.106513, 83
44, 1, 0.073062, 83
45, 0, 0.13076, 83
45, 0, 0.207226, 65
46, 0, -0.113325, 65
47, 1, -0.028964, 65
50, 0, -0.195653, 68
51, 1, -0.030311, 69
52, 0, 0.105128, 69
52, 0, -0.168059, 68
55, 0, 0.216001, 68
56, 0, 0.162471, 68
57, 1, -0.060121, 68
59, 1, -0.03241, 68
61, 1, 0.009064, 83
62, 0, -0.197961, 83
63, 0, 0.199833, 68
63, 1, -0.038059, 68
64, 0, 0.127657, 68
65, 1, -0.037167, 83
67, 0, 0.100754, 68
67, 1, 0.00527, 68
69, 1, 0.087854, 83
70, 0, 0.142473, 83
71, 1, 0.084807, 83
74, 1, 0.036824, 68
75, 0, -0.122651, 68
76, 0, -0.140877, 68
77, 1, -0.021003, 68
81, 1, 0.073882, 68
83, 1, -0.096126, 68
85, 0, -0.166266, 68
86, 1, -0.006545, 68
87, 0, -0.214713, 68
87, 1, -0.070464, 68
88, 1, 0.072831, 68
88, 0, 0.215748, 68
88, 1, -0.099153, 68
89, 1, 0.046427, 68
89, 0, 0.162982, 68
89, 0, -0.121543, 68
90, 1, 0.034259, 68
90, 0, 0.177767, 68
90, 0, -0.107621, 68
90, 1, 0.018354, 68
95, 1, 0.025019, 69
98, 0, 0.13111, 69
102, 0, 0.175848, 68
105, 0, -0.150647, 69
108, 0, -0.138021, 68
111, 1, -0.046239, 68
113, 0, 0.171776, 68
115, 0, -0.145844, 68
116, 1, -0.038868, 68
120, 0, 0.127318, 87
121, 1, -0.026175, 87
123, 1, 0.0703, 87
126, 1, 0.077778, 68
127, 0, 0.124891, 68
128, 1, 0.094326, 68
128, 1, -0.052099, 68
129, 0, 0.157772, 68
130, 1, 0.090919, 68
177, 0, -0.1139, 69
178, 1, -0.068669, 69
179, 0, -0.181159, 69
180, 0, 0.153769, 69
181, 1, 0.064697, 69
188, 0, 0.17845, 87
188, 0, -0.111349, 87
194, 0, 0.138454, 69
195, 1, 0.099333, 69
196, 1, 0.092665, 69
197, 1, 0.044372, 69
198, 1, 0.03697, 69
199, 1, 0.069139, 69
200, 1, 0.036087, 69
200, 1, 0.002809, 69
202, 1, 0.039973, 69
203, 1, 0.068806, 69
204, 1, 0.07544, 69
205, 1, 0.067427, 69
206, 1, 0.04585, 69
207, 1, 0.038609, 69
208, 1, 0.06035, 69
209, 1, 0.092854, 69
209, 0, -0.154947, 87
210, 1, 0.095712, 87
210, 0, -0.180649, 87
211, 1, 0.086492, 87
212, 1, 0.086692, 87
213, 1, 0.059257, 87
214, 0, 0.111616, 87
215, 1, 0.04267, 87
216, 1, 0.074541, 87
217, 1, 0.060597, 87
218, 1, 0.070129, 87
219, 1, 0.052901, 87
220, 1, 0.026858, 87
220, 1, 0.009418, 87
222, 1, 0.093551, 87
223, 1, 0.074025, 68
224, 1, 0.046909, 69
225, 1, 0.060235, 69
226, 1, 0.07042, 69
227, 0, 0.100214, 69
228, 1, 0.078965, 69
229, 1, 0.073175, 69
230, 0, 0.128657, 69
231, 1, 0.089447, 69
232, 0, 0.145354, 69
232, 1, -0.03307, 68
234, 1, -0.086096, 65
235, 0, 0.122132, 32
236, 0, 0.140713, 32
237, 0, 0.119527, 32
238, 1, 0.080572, 32
239, 0, 0.117707, 32
239, 1, -0.086836, 68
242, 0, -0.189799, 69
243, 0, 0.119945, 69
244, 0, 0.144479, 69
245, 0, 0.106972, 69
246, 1, 0.090443, 69
247, 1, 0.094826, 69
248, 0, 0.143432, 69
249, 1, 0.090259, 69
250, 1, 0.070059, 69
251, 1, 0.077559, 69
252, 0, 0.120853, 69
253, 1, 0.060387, 69
254, 0, 0.157243, 69
255, 1, 0.070004, 69
256, 1, 0.079379, 69
257, 1, 0.068352, 69
257, 1, -0.094567, 68
258, 0, 0.126788, 68
259, 1, 0.092295, 68
260, 1, 0.085619, 68
261, 1, 0.051245, 87
261, 1, 0.012692, 68
263, 1, 0.059912, 68
264, 1, 0.068526, 68
265, 1, 0.075791, 68
266, 1, 0.042382, 68
267, 1, 0.044775, 68
268, 1, 0.041015, 68
269, 1, 0.069393, 87
270, 1, -0.017618, 83
271, 1, 0.012107, 69
273, 1, 0.030785, 69
273, 0, -0.182399, 32
274, 0, 0.13153, 32
275, 1, 0.030948, 65
275, 1, 0.016191, 65
276, 1, -0.001831, 87
277, 1, -0.02815, 32
279, 1, 0.031706, 32
279, 0, 0.117507, 87
280, 0, 0.120607, 87
281, 1, 0.09169, 87
282, 1, 0.078516, 87
283, 1, 0.062684, 87
283, 1, 0.018771, 87
284, 1, 0.007181, 68
285, 1, -0.052993, 68
286, 0, -0.173804, 32
287, 0, 0.122273, 65
287, 1, -0.039572, 83
288, 1, -0.010383, 32
289, 0, -0.192947, 32
290, 1, 0.068099, 68
291, 1, 0.071257, 32
291, 1, -0.027756, 68
292, 1, -0.015581, 68
293, 1, 0.095724, 32
294, 0, -0.130004, 83
295, 0, -0.153652, 83
296, 0, -0.155984, 83
299, 0, 0.125443, 83
300, 0, -0.208667, 83
302, 0, 0.155759, 83
304, 0, -0.210862, 65
306, 1, 0.04067, 65
307, 1, 0.031822, 83
307, 1, -0.001071, 65
309, 1, 0.045069, 65
309, 1, 0.003188, 83
311, 1, 0.020982, 65
330, 0, 0.129152, 68
344, 1, 0.037838, 68
345, 1, 0.042399, 68
345, 1, 0.006394, 83
347, 1, 0.033965, 65
350, 0, 0.10478, 68
351, 0, 0.137998, 68
352, 1, 0.053819, 83
353, 1, 0.024861, 68
354, 1, 0.046286, 68
355, 0, 0.101023, 68
356, 1, 0.071893, 68
357, 1, 0.084613, 68
358, 1, 0.074141, 68
359, 1, 0.066737, 68
360, 1, 0.046995, 68
361, 1, 0.038502, 68
362, 1, 0.044717, 68
363, 1, 0.072454, 68
364, 1, 0.043556, 68
365, 1, 0.032125, 68
366, 1, 0.087629, 68
367, 1, 0.056592, 68
368, 1, 0.047762, 68
368, 1, -0.002087, 68
370, 1, 0.059016, 68
370, 1, 0.006607, 68
372, 1, 0.047703, 87
372, 1, -0.007572, 87
391, 1, 0.091057, 69
392, 1, 0.087376, 69
393, 1, 0.097601, 69
394, 1, 0.085515, 68
395, 0, 0.145269, 87
398, 0, 0.146128, 69
400, 1, 0.095525, 69
401, 0, 0.113592, 69
403, 0, 0.102092, 68
409, 0, 0.145753, 68
410, 0, -0.197794, 69
411, 0, 0.167575, 69
415, 1, -0.031394, 68
416, 1, 0.00983, 68
417, 1, -0.016435, 68
